prop_id,year,committee_name,committee_id,filer_type,stance,date,amount,txn_type,donor_name,donor_type,donor_sector
202000026,2014,Yes on 47 - Schools Not Prisons,C-2014-002,primarily formed,support,2014-07-20,100000.00,monetary,Individual Donor C,individual,Other
202000026,2014,Yes on 47 - Schools Not Prisons,C-2014-002,primarily formed,support,2014-09-01,175000.00,monetary,California Teachers Association,labor_union,Education
202000026,2014,Stop the Release of Violent Criminals,C-2014-003,primarily formed,oppose,2014-04-01,500000.00,monetary,CA District Attorneys Association,trade_association,Law Enforcement
202000026,2014,Stop the Release of Violent Criminals,C-2014-003,primarily formed,oppose,2014-05-15,350000.00,monetary,CA State Sheriffs Association,trade_association,Law Enforcement
202000026,2014,Stop the Release of Violent Criminals,C-2014-003,primarily formed,oppose,2014-06-20,200000.00,monetary,CA Police Chiefs Association,trade_association,Law Enforcement
202000026,2014,Stop the Release of Violent Criminals,C-2014-003,primarily formed,oppose,2014-07-10,150000.00,monetary,California Retailers Association,trade_association,Retail
202000026,2014,Stop the Release of Violent Criminals,C-2014-003,primarily formed,oppose,2014-08-15,100000.00,monetary,Individual Donor D,individual,Other
202000026,2014,Stop the Release of Violent Criminals,C-2014-003,primarily formed,oppose,2014-09-05,250000.00,monetary,CA Correctional Peace Officers Assn,trade_association,Law Enforcement
202000026,2014,No on 47 Coalition,C-2014-004,primarily formed,oppose,2014-06-01,175000.00,monetary,CA Narcotic Officers Association,trade_association,Law Enforcement
202000026,2014,No on 47 Coalition,C-2014-004,primarily formed,oppose,2014-08-01,125000.00,monetary,Crime Victims United of CA,nonprofit,Law Enforcement
202000026,2014,No on 47 Coalition,C-2014-004,primarily formed,oppose,2014-09-20,100000.00,monetary,Individual Donor E,individual,Other
