source,year,election,measure_text,pdf_url,summary_title,summary_text,has_summary,data_source,description,measure_id,percent_yes,passed,measure_type,topic,decade,century,unified_id
ICPSR,,,Proposition 1,,,,,ICPSR,Measurement and Graduation of Weights and Measures.,CA9,,0.0, Legislative Referendum , Business & Commerce ,,,CA9
ICPSR,,,Proposition 1,,,,,ICPSR,Irrigation District Bonds,CA31,70.5,1.0, Legislative Referendum , Agriculture | Bond Measures | Local Government ,,,CA31
ICPSR,,,Proposition 1,,,,,ICPSR,Calling Convention for Revision of Constitution,CA33,28.89999962,0.0, Legislative Referendum , Civil & Constitutional Law ,,,CA33
ICPSR,,,Proposition 1,,,,,ICPSR,Direct Primary Law,CA86,48.40000153,0.0, Popular Referendum , Elections ,,,CA86
ICPSR,,,Proposition 1,,,,,ICPSR,Prohibition,CA91,44.79999924,0.0, Initiative , Business & Commerce | Drug/Alcohol/Tobacco Policy ,,,CA91
ICPSR,,,Proposition 1,,,,,ICPSR,Liquor Regulation,CA109,42.90000153,0.0, Initiative , Business & Commerce | Drug/Alcohol/Tobacco Policy ,,,CA109
ICPSR,,,Proposition 1,,,,,ICPSR,State Highway Bonds,CA122,87.5,1.0, Legislative Referendum , Bond Measures | Transportation ,,,CA122
ICPSR,,,Proposition 1,,,,,ICPSR,Alien Land Law,CA141,75.09999847,1.0, Initiative , Civil & Constitutional Law | Land Use/Property Rights ,,,CA141
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Validating Act,CA172,71.30000305,1.0, Initiative , Bond Measures | Military & Veterans Affairs ,,,CA172
ICPSR,,,Proposition 1,,,,,ICPSR,State Taxation of Highway Transportation Companies,CA178,45.79999924,0.0, Initiative , Tax & Revenue | Transportation ,,,CA178
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Welfare Bond Act of 1925,CA217,76.30000305,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA217
ICPSR,,,Proposition 1,,,,,ICPSR,Reapportionment of Legislative Districts,CA224,54.79999924,1.0, Popular Referendum , Redistricting ,,,CA224
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Welfare Bond Act of 1929,CA264,75.90000153,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA264
ICPSR,,,Proposition 1,,,,,ICPSR,Oil Control,CA267,21.20000076,0.0, Popular Referendum , Natural Resources ,,,CA267
ICPSR,,,Proposition 1,,,,,ICPSR,Wright Act Repeal,CA285,68.90000153,1.0, Initiative , Agriculture | Local Government ,,,CA285
ICPSR,,,Proposition 1,,,,,ICPSR,Taxation,CA292,62.0,1.0, Legislative Referendum , Banking & Financial Services | Insurance | Tax & Revenue ,,,CA292
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Welfare Bond Act of 1933,CA311,63.90000153,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA311
ICPSR,,,Proposition 1,,,,,ICPSR,State Building Bond Act of 1935,CA323,46.70000076,0.0, Legislative Referendum , Bond Measures | State Government ,,,CA323
ICPSR,,,Proposition 1,,,,,ICPSR,Labor,CA359,42.0,0.0, Initiative , Labor & Employment ,,,CA359
ICPSR,,,Proposition 1,,,,,ICPSR,Retirement Warrants,CA372,33.90000153,0.0, Initiative , Bond Measures | Human Services | State Government ,,,CA372
ICPSR,,,Proposition 1,,,,,ICPSR,"Releasing Obligations, Encumbrances and Agreements Taken as Security for State Aid to Aged Persons",CA388,62.09999847,1.0, Legislative Referendum , Human Services | State Government ,,,CA388
ICPSR,,,Proposition 1,,,,,ICPSR,"Prohibiting ""Hot Cargo,"" ""Secondary Boycott""",CA404,55.29999924,1.0, Popular Referendum , Labor & Employment ,,,CA404
ICPSR,,,Proposition 1,,,,,ICPSR,Taxation of Federal Property,CA420,68.59999847,1.0, Legislative Referendum , Human Services | Tax & Revenue ,,,CA420
ICPSR,,,Proposition 1,,,,,ICPSR,The Veterans Bond Act of 1943,CA423,87.69999695,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA423
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Bond Act of 1946,CA439,79.59999847,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA439
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Tax Exemption,CA451,74.5,0.0, Legislative Referendum , Military & Veterans Affairs | Tax & Revenue ,,,CA451
ICPSR,,,Proposition 1,,,,,ICPSR,School Bonds,CA471,72.80000305,1.0, Legislative Referendum , Bond Measures | Education: PreK-12 ,,,CA471
ICPSR,,,Proposition 1,,,,,ICPSR,Personal Property Taxation,CA472,19.29999924,0.0, Initiative , Tax & Revenue ,,,CA472
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Farm and Home Bonds,CA506,85.69999695,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA506
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Bond Act of 1954,CA524,79.40000153,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA524
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Bond Act of 1956,CA544,80.40000153,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA544
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans' Bond Act of 1958,CA561,73.90000153,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA561
ICPSR,,,Proposition 1,,,,,ICPSR,"The State Beach, Park, Recreational, and Historical Facilities Bond Act of 1964",CA619,62.40000153,1.0, Legislative Referendum , Arts & Culture | Bond Measures | Natural Resources ,,,CA619
ICPSR,,,Proposition 1,,,,,ICPSR,Bonds to Provide Public Community College Facilities,CA700,56.90000153,1.0, Legislative Referendum , Bond Measures | Education: Higher Ed ,,,CA700
ICPSR,,,Proposition 1,,,,,ICPSR,The Veterans Bond Act of 1971,CA709,65.5,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA709
ICPSR,,,Proposition 1,,,,,ICPSR,Tax and Expenditure Limitations,CA719,46.0,0.0, Initiative , Tax & Revenue ,,,CA719
ICPSR,,,Proposition 1,,,,,ICPSR,Recreational Lands Bond Act,CA729,59.90000153,1.0, Legislative Referendum , Bond Measures | Natural Resources ,,,CA729
ICPSR,,,Proposition 1,,,,,ICPSR,State School Building Aid and Earthquake Reconstruction and Replacement Bond Law,CA730,60.09999847,1.0, Legislative Referendum , Bond Measures | Education: PreK-12 ,,,CA730
ICPSR,,,Proposition 1,,,,,ICPSR,Housing Finance Bond Law of 1975,CA750,42.79999924,0.0, Legislative Referendum , Bond Measures | Human Services ,,,CA750
ICPSR,,,Proposition 1,,,,,ICPSR,State School Building Lease-Purchase Bond Law of 1976,CA756,47.29999924,0.0, Legislative Referendum , Bond Measures | Education: PreK-12 ,,,CA756
ICPSR,,,Proposition 1,,,,,ICPSR,State School Building Aid Bond Law of 1978,CA776,35.0,0.0, Legislative Referendum , Bond Measures | Education: PreK-12 ,,,CA776
ICPSR,,,Proposition 1,,,,,ICPSR,Veterans Bond Act of 1978,CA792,62.29999924,1.0, Legislative Referendum , Bond Measures | Human Services | Military & Veterans Affairs | Tax & Revenue ,,,CA792
ICPSR,,,Proposition 1,,,,,ICPSR,School Assignment and Transportation of Pupils,CA798,68.59999847,1.0, Legislative Referendum , Education: PreK-12 ,,,CA798
ICPSR,,,Proposition 1,,,,,ICPSR,State School Building Lease-Purchase Bond Law Of 1982.,CA836,50.5,1.0, Legislative Referendum , Bond Measures | Education: PreK-12 ,,,CA836
ICPSR,,,Proposition 1,,,,,ICPSR,New Prison Construction Bond Act of 1981,CA842,56.09999847,1.0, Legislative Referendum , Bond Measures | Criminal Justice ,,,CA842
ICPSR,,,Proposition 1,,,,,ICPSR,Property Taxes: Contaminated Property,CA1069,71.69999695,1.0, Legislative Referendum , Environmental Protection | Tax & Revenue ,,,CA1069
ICPSR,,,Proposition 1,,,,,ICPSR,"Water Bond. Funding for Water Quality, Supply, Treatment, and Storage Projects.",CA1219,66.80000305,1.0, Legislative Referendum , Bond Measures | Natural Resources ,,,CA1219
ICPSR,,,Proposition 1-G,,,,,ICPSR,The California Water Resources Development Bond Act,CA569,51.5,1.0, Legislative Referendum , Bond Measures | Natural Resources ,,,CA569
ICPSR,,,Proposition 1-G,,,,,ICPSR,Compensation of Legislators,CA586,34.09999847,0.0, Legislative Referendum , Labor & Employment | Legislatures ,,,CA586
ICPSR,,,Proposition 1-G,,,,,ICPSR,Public Retirement Funds,CA640,59.59999847,1.0, Legislative Referendum , Labor & Employment | Local Government | State Government ,,,CA640
ICPSR,,,Proposition 1-G,,,,,ICPSR,Constitutional Revision,CA649,43.0,0.0, Legislative Referendum , Human Services | Tax & Revenue ,,,CA649
ICPSR,,,Proposition 1-G,,,,,ICPSR,The Clean Water Bond Law of 1970,CA685,75.40000153,1.0, Legislative Referendum , Bond Measures | Natural Resources ,,,CA685
ICPSR,,,Proposition 1-P,,,,,ICPSR,Veterans Farm and Home Bonds,CA574,64.90000153,1.0, Legislative Referendum , Agriculture | Bond Measures | Military & Veterans Affairs ,,,CA574
ICPSR,,,Proposition 1-P,,,,,ICPSR,State School Building Aid Bond Law of 1962,CA604,63.90000153,1.0, Legislative Referendum , Bond Measures | Education: PreK-12 ,,,CA604
ICPSR,,,Proposition 1-P,,,,,ICPSR,State School Building Aid Bond Law of 1966,CA641,60.59999847,1.0, Legislative Referendum , Bond Measures | Education: PreK-12 ,,,CA641
ICPSR,,,Proposition 1-P,,,,,ICPSR,The Veterans Bond Act of 1968,CA659,61.79999924,1.0, Legislative Referendum , Bond Measures | Military & Veterans Affairs ,,,CA659
ICPSR,,,Proposition 1-P,,,,,ICPSR,University of California Health Science Facilities,CA664,45.0,0.0, Legislative Referendum , Bond Measures | Education: Higher Ed | Health ,,,CA664
ICPSR,,,Proposition 10,,,,,ICPSR,Compensation for Industrial Accidents,CA3,,0.0, Legislative Referendum , Business & Commerce | Insurance | Labor & Employment ,,,CA3
ICPSR,,,Proposition 10,,,,,ICPSR,Abolition of Poll Tax,CA55,52.0,1.0, Initiative , Civil & Constitutional Law | Elections ,,,CA55
ICPSR,,,Proposition 10,,,,,ICPSR,Exempting Property from Taxation,CA81,37.09999847,0.0, Legislative Referendum , Tax & Revenue ,,,CA81
ICPSR,,,Proposition 10,,,,,ICPSR,Borough Government Permanency,CA114,51.09999847,1.0, Legislative Referendum , Local Government ,,,CA114
ICPSR,,,Proposition 10,,,,,ICPSR,Constitutional Convention,CA126,32.20000076,0.0, Legislative Referendum , Civil & Constitutional Law ,,,CA126
ICPSR,,,Proposition 10,,,,,ICPSR,Taxation of Publicly Owned Public Utilities,CA153,37.59999847,0.0, Initiative , Energy & Electric Utilities | Tax & Revenue ,,,CA153
ICPSR,,,Proposition 10,,,,,ICPSR,State Taxation,CA176,37.09999847,0.0, Legislative Referendum , Education: PreK-12 | Tax & Revenue ,,,CA176
ICPSR,,,Proposition 10,,,,,ICPSR,Bonds for State Buildings and University Buildings,CA212,67.59999847,1.0, Legislative Referendum , Bond Measures | Education: Higher Ed ,,,CA212
ICPSR,,,Proposition 10,,,,,ICPSR,Acquisition of Land for Public Improvements,CA233,73.40000153,1.0, Legislative Referendum , Natural Resources | State Government ,,,CA233
ICPSR,,,Proposition 10,,,,,ICPSR,Usury Law,CA241,23.89999962,0.0, Initiative , Banking & Financial Services ,,,CA241
ICPSR,,,Proposition 10,,,,,ICPSR,Authorizing City of Escondido to Hold Stock in Mutual Water Company,CA286,76.80000305,1.0, Legislative Referendum , Local Government ,,,CA286
ICPSR,,,Proposition 10,,,,,ICPSR,"Diverting Gasoline Tax Funds for Biennium Ending June 30, 1935",CA288,25.70000076,0.0, Legislative Referendum , Budgets | Tax & Revenue | Transportation ,,,CA288
ICPSR,,,Proposition 10,,,,,ICPSR,Claims and Budgets,CA313,67.80000305,1.0, Legislative Referendum , Budgets ,,,CA313
ICPSR,,,Proposition 10,,,,,ICPSR,Motor Vehicle Fuel Taxes and License Fees,CA338,43.90000153,0.0, Initiative , Tax & Revenue | Transportation ,,,CA338
ICPSR,,,Proposition 10,,,,,ICPSR,Oil Leases on State-Owned Tidelands at Huntington Beach,CA349,22.79999924,0.0, Popular Referendum , Environmental Protection | Natural Resources ,,,CA349
ICPSR,,,Proposition 10,,,,,ICPSR,Proceedings for Public Improvements or Acquisition of Property for Public Use,CA389,62.59999847,1.0, Legislative Referendum , Natural Resources | State Government ,,,CA389
ICPSR,,,Proposition 10,,,,,ICPSR,Reorganization of Building and Loan Associations,CA395,27.20000076,0.0, Initiative , Banking & Financial Services ,,,CA395
ICPSR,,,Proposition 10,,,,,ICPSR,"Compensation of Officers, Increase During Term",CA415,52.0,1.0, Legislative Referendum , Labor & Employment | State Government ,,,CA415
ICPSR,,,Proposition 10,,,,,ICPSR,Salary of the Governor,CA433,60.59999847,1.0, Legislative Referendum , Labor & Employment | State Government ,,,CA433
ICPSR,,,Proposition 10,,,,,ICPSR,Initiatives,CA455,,1.0, Legislative Referendum , Elections-Initiative Process ,,,CA455
ICPSR,,,Proposition 10,,,,,ICPSR,Repeal of Suspension Provision,CA466,70.69999695,1.0, Legislative Referendum , Business & Commerce | Civil & Constitutional Law | Criminal Justice ,,,CA466
ICPSR,,,Proposition 10,,,,,ICPSR,Public Housing Projects. Requiring Election to Establish,CA476,50.79999924,1.0, Initiative , Human Services ,,,CA476
ICPSR,,,Proposition 10,,,,,ICPSR,Public Funds: Certain Expenditures Prohibited,CA483,41.90000153,0.0, Initiative , Budgets | Legislatures ,,,CA483
ICPSR,,,Proposition 10,,,,,ICPSR,Terms of State Officers,CA508,31.20000076,0.0, Legislative Referendum , Elections | State Government ,,,CA508
ICPSR,,,Proposition 10,,,,,ICPSR,State Civil Service: Contract Architects and Engineers,CA531,42.70000076,0.0, Legislative Referendum , Labor & Employment | State Government ,,,CA531
ICPSR,,,Proposition 10,,,,,ICPSR,Eminent Domain: Airports and Schools,CA549,31.0,0.0, Legislative Referendum , Land Use/Property Rights ,,,CA549
ICPSR,,,Proposition 10,,,,,ICPSR,Administration of Justice,CA579,74.40000153,1.0, Legislative Referendum , Judiciary ,,,CA579
ICPSR,,,Proposition 10,,,,,ICPSR,Welfare Exemption: Leased Property,CA582,32.29999924,0.0, Legislative Referendum , Human Services | Tax & Revenue ,,,CA582
ICPSR,,,Proposition 10,,,,,ICPSR,State School Fund,CA615,51.0,1.0, Legislative Referendum , Budgets | Education: PreK-12 | Federal Government ,,,CA615
ICPSR,,,Proposition 10,,,,,ICPSR,Loan of Public Funds,CA631,40.0,0.0, Legislative Referendum , Human Services | Tax & Revenue ,,,CA631
ICPSR,,,Proposition 10,,,,,ICPSR,Interest Rate Limitation,CA663,44.90000153,0.0, Legislative Referendum , Banking & Financial Services | Business & Commerce ,,,CA663
ICPSR,,,Proposition 10,,,,,ICPSR,Partial Constitutional Revision,CA710,65.80000305,1.0, Legislative Referendum , Civil & Constitutional Law ,,,CA710
ICPSR,,,Proposition 10,,,,,ICPSR,Blind Veterans Tax Exemption,CA717,89.40000153,1.0, Legislative Referendum , Military & Veterans Affairs | Tax & Revenue ,,,CA717
ICPSR,,,Proposition 10,,,,,ICPSR,Right to Vote,CA728,56.29999924,1.0, Legislative Referendum , Civil & Constitutional Law | Elections ,,,CA728
ICPSR,,,Proposition 10,,,,,ICPSR,Bonds to Refund State Indebtedness,CA754,45.40000153,0.0, Legislative Referendum , Bond Measures | Budgets ,,,CA754
ICPSR,,,Proposition 10,,,,,ICPSR,Property Taxation by Local Governments Whose Boundaries Include Area in Two or More Counties.,CA773,79.80000305,1.0, Legislative Referendum , Local Government | Tax & Revenue ,,,CA773
ICPSR,,,Proposition 10,,,,,ICPSR,Taxation - Rehabilitated Property,CA780,42.79999924,0.0, Legislative Referendum , Tax & Revenue ,,,CA780
ICPSR,,,Proposition 10,,,,,ICPSR,"Unifying Superior, Municipal, And Justice Courts.",CA824,34.70000076,0.0, Legislative Referendum , Judiciary ,,,CA824
ICPSR,,,Proposition 10,,,,,ICPSR,Reapportionment. Congressional Districts.,CA826,35.40000153,0.0, Popular Referendum , Redistricting ,,,CA826
ICPSR,,,Proposition 10,,,,,ICPSR,State and County Early Childhood Development Programs. Additional Tobacco Surtax. Initiative Constitutional Amendment and Statute.,CA1059,50.59999847,1.0, Initiative , Drug/Alcohol/Tobacco Policy | Education: PreK-12 | Health | Human Services | Tax & Revenue ,,,CA1059
ICPSR,,,Proposition 10,,,,,ICPSR,Alternative Fuel Vehicles and Renewable Energy. Bonds. Initiative Statute.,CA1162,40.5,0.0, Initiative , Bond Measures | Energy & Electric Utilities | Environmental Protection | Transportation ,,,CA1162
ICPSR,,,Proposition 100,,,,,ICPSR,"Insurance Rates, Regulation.",CA902,40.90000153,0.0, Initiative , Insurance ,,,CA902
ICPSR,,,Proposition 101,,,,,ICPSR,Automobile Accident Claims And Insurance Rates.,CA897,13.30000019,0.0, Initiative , Insurance ,,,CA897
ICPSR,,,Proposition 102,,,,,ICPSR,Reporting Exposure To Aids Virus.,CA900,34.40000153,0.0, Initiative , Health | Insurance | Labor & Employment ,,,CA900
ICPSR,,,Proposition 103,,,,,ICPSR,"Insurance Rates, Regulation, Commissioner.",CA908,51.09999847,1.0, Initiative , Insurance | State Government ,,,CA908
ICPSR,,,Proposition 104,,,,,ICPSR,Automobile And Other Insurance.,CA898,25.39999962,0.0, Initiative , Insurance ,,,CA898
ICPSR,,,Proposition 105,,,,,ICPSR,"Disclosures To Consumers, Voter, Investors.",CA912,54.5,1.0, Initiative , Business & Commerce | Environmental Protection | Ethics/Lobbying/Campaign Finance | Health | Insurance ,,,CA912
ICPSR,,,Proposition 106,,,,,ICPSR,Attorney Fees Limit For Tort Claims.,CA904,46.90000153,0.0, Initiative , Civil & Constitutional Law | Judiciary ,,,CA904
ICPSR,,,Proposition 107,,,,,ICPSR,Housing And Homeless Bond Act Of 1990,CA964,52.40000153,1.0, Legislative Referendum , Bond Measures | Human Services ,,,CA964
ICPSR,,,Proposition 108,,,,,ICPSR,Passenger Rail And Clean Air Bond Act Of 1990,CA974,56.29999924,1.0, Legislative Referendum , Bond Measures | Transportation ,,,CA974
ICPSR,,,Proposition 109,,,,,ICPSR,Governor's Review Of Legislation. Legislative Deadlines. Legislative Constitutional Amendment,CA971,55.40000153,1.0, Legislative Referendum , Legislatures | State Government ,,,CA971
ICPSR,,,Proposition 10G,,,,,ICPSR,Smoking and No-Smoking Sections -- Initiative Statute,CA808,46.59999847,0.0, Initiative , Business & Commerce | Drug/Alcohol/Tobacco Policy ,,,CA808
ICPSR,,,Proposition 10P,,,,,ICPSR,Rent-Control Through Local Ordinance,CA803,35.40000153,0.0, Initiative , Business & Commerce | Local Government ,,,CA803
ICPSR,,,Proposition 11,,,,,ICPSR,Terms of Office.,CA22,,0.0, Legislative Referendum , State Government ,,,CA22
ICPSR,,,Proposition 11,,,,,ICPSR,University of California Building Bond Act,CA72,63.29999924,1.0, Initiative , Bond Measures | Education: Higher Ed ,,,CA72
ICPSR,,,Proposition 11,,,,,ICPSR,County Charters,CA84,41.29999924,0.0, Legislative Referendum , Local Government ,,,CA84
ICPSR,,,Proposition 11,,,,,ICPSR,Exempting Cemeteries from Taxation,CA103,36.0,0.0, Legislative Referendum , Tax & Revenue ,,,CA103
ICPSR,,,Proposition 11,,,,,ICPSR,Alien Poll Tax,CA142,81.90000153,1.0, Legislative Referendum , Civil & Constitutional Law | Elections ,,,CA142
ICPSR,,,Proposition 11,,,,,ICPSR,Regulation of Publicly Owned Public Utilities,CA151,35.79999924,0.0, Initiative , Energy & Electric Utilities ,,,CA151
ICPSR,,,Proposition 11,,,,,ICPSR,Klamath River Fish and Game District,CA185,60.70000076,1.0, Initiative , Natural Resources ,,,CA185
ICPSR,,,Proposition 11,,,,,ICPSR,Exempting Secondary Schools from Taxation,CA196,35.90000153,0.0, Legislative Referendum , Education: PreK-12 | Tax & Revenue ,,,CA196
ICPSR,,,Proposition 11,,,,,ICPSR,Courts,CA227,61.29999924,1.0, Legislative Referendum , Judiciary ,,,CA227
