normalized_filer_name,raw_filer_name,filer_id,quarantine_reason,row_count,total_dollars,min_txn_date,max_txn_date,cover_elect_date,cover_from_date,cover_thru_date,cover_form_types,rcpt_form_types,top_contributors_by_dollars,sample_filing_ids,reviewer_classification,reviewer_target_campaign_id,reviewer_notes
patel for assembly 2024,Patel for Assembly 2024,1457655,filer_name_no_prop,125,3552854.63,2024-03-13,2024-11-05,,2/18/2024 12:00:00 AM,6/30/2024 12:00:00 AM,F460=125,C=125,"California Democratic Party ($3,551,342); Black, Laurie ($897); ProChoice.YourVoter.Guide ($500); Jane Fonda Climate PAC (FED PAC ID #C00806893 ($115)","2934964, 2934964, 2934964, 2934964, 2934964",,,
"citizens for paycheck protection, sponsored by pharmaceutical research and manufacturers of america california initiative fund","Citizens for Paycheck Protection, sponsored by Pharmaceutical Research and Manufacturers of America California Initiative Fund",1275566,filer_name_no_prop,16,3203575.09,2005-03-15,2005-06-13,,1/1/2005 12:00:00 AM,3/31/2005 12:00:00 AM,F460=16,C=16,"Pharmaceutical Research and Manufacturers of America CA Initiative Fund ($3,203,575)","1103618, 1103618, 1103618, 1103618, 1103618",,,
voters first act for congress,VOTERS FIRST ACT FOR CONGRESS,1321618,filer_name_no_prop,6,3100241.99,2009-10-13,2010-03-22,,1/1/2010 12:00:00 AM,3/31/2010 12:00:00 AM,F460=6,C=6,"CHARLES T. MUNGER, JR. ($3,100,242)","1485659, 1485659, 1485659, 1465726, 1465726",,,
californians for voter id,Californians for Voter ID,1479607,filer_name_no_prop,9,3051645.82,2025-10-05,2026-02-23,,10/1/2025 12:00:00 AM,12/31/2025 12:00:00 AM,F460=9,C=9,"Reform California with Carl De Maio - Ballot Measure Committee ($3,042,980); The Lincoln Club of Orange County Issues PAC ($7,991); Luckey, Julie ($675)","3114627, 3114627, 3114627, 3114627, 3146280",,,
ken cooley for assembly 2012,Ken Cooley for Assembly 2012,1343706,filer_name_no_prop,153,3024544.9,2012-05-18,2012-11-06,6/5/2012 12:00:00 AM,3/18/2012 12:00:00 AM,5/19/2012 12:00:00 AM,F460=153,C=153,"Democratic State Central Committee Of California ($3,015,768); California Professional Firefighters PAC ($6,718); Churchwell, Steven G. ($954); California Association For Health Services At Home PAC ($468); Sacramento County Young Democrats ($422)","1664083, 1680663, 1680663, 1704557, 1704557",,,
josh newman for senate 2024,Josh Newman for Senate 2024,1435010,filer_name_no_prop,353,2943341.24,2021-07-28,2024-12-21,,7/1/2021 12:00:00 AM,12/31/2021 12:00:00 AM,F460=353,C=353,"California Democratic Party ($2,908,673); Jackson Family Enterprises, Inc & Affiliated Entitites ($10,995); Charter Communications ($4,014); KG Bakery, Inc ($4,000); Banke, Barbara ($3,904)","2633329, 2633329, 2633329, 2701730, 2701730",,,
california democratic party,California Democratic Party,741666,filer_name_no_prop,353,2889559.25,2014-07-17,2026-03-21,,11/23/2014 12:00:00 AM,12/31/2014 12:00:00 AM,F460=353,C=353,"AT&T Inc. and its Affiliates ($1,038,755); California Professional Firefighters PAC ($526,469); AT&T Services Inc. and its Affiliates ($271,472); Diageo North America, Inc ($182,029); Diageo ($125,369)","1936225, 1892979, 1892979, 1892979, 1892979",,,
anna caballero for senate 2018,Anna Caballero for Senate 2018,1394879,filer_name_no_prop,427,2701979.02,2017-03-13,2018-11-06,6/5/2018 12:00:00 AM,4/22/2018 12:00:00 AM,5/19/2018 12:00:00 AM,F460=427,C=427,"California Democratic Party ($2,456,906); Fresno County Democratic Central Committee (FCDCC) ($230,000); California Building Industry Association PAC ($3,750); Portola Hotel & Spa ($2,463); Tri-Cal, Inc. ($1,927)","2254452, 2254452, 2254452, 2254452, 2254452",,,
california patriot coalition - recall governor gavin newsom,California Patriot Coalition - Recall Governor Gavin Newsom,1424018,filer_name_no_prop,66,2698740.02,2020-07-29,2021-08-17,,7/1/2020 12:00:00 AM,9/30/2020 12:00:00 AM,F460=66,C=66,"Rescue California - Recall Gavin Newsom ($955,093); Prov. 3:9, LLC(Thomas Liu) ($500,000); Palmer, Geoff ($200,000); DGB Ranch ($150,000); Palihapitiya, Chamath ($100,000)","2532025, 2553073, 2553073, 2553073, 2553073",,,
the governor gray davis committee,The Governor Gray Davis Committee,962636,filer_name_no_prop,520,2514099.91,2000-01-11,2003-09-20,3/5/2002 12:00:00 AM,7/1/2000 12:00:00 AM,12/31/2000 12:00:00 AM,F460=520,C=520,"Democratic State Central Committee of California ($483,456); State Building & Construction Trades Council of CA ($142,056); AT & T and Affiliated Entities ($106,471); Saban, Haim ($98,670); Yucaipa Companies, LLC ($62,258)","719073, 719073, 719073, 719073, 719073",,,
mueller for senate 2024,Mueller for Senate 2024,1436686,filer_name_no_prop,295,2342355.02,2023-09-01,2024-11-05,,7/1/2023 12:00:00 AM,12/31/2023 12:00:00 AM,F460=295,C=295,"California Democratic Party ($2,334,234); Consumer Attorneys Consumer Protection Fund Small Contributor Committee ($5,211); Gonzalez, Raul ($1,500); Martinez, Jennifer ($500); ProChoice - Your Voter Guide ($500)","2872582, 2872582, 2872582, 2935607, 2935607",,,
democratic state central comm of calif.,Democratic State Central Comm of Calif.,741666,filer_name_no_prop,262,2281625.26,2009-01-13,2013-01-15,5/19/2009 12:00:00 AM,4/5/2009 12:00:00 AM,5/2/2009 12:00:00 AM,F460=262,C=262,"AT&T Inc. and its Affiliates ($824,439); California Professional Firefighters PAC ($579,785); Westfield, LLC (inkind) ($89,062); Diageo-Guiness USA, Inc. ($77,181); Microsoft Corporation ($75,366)","1423196, 1423196, 1423196, 1423196, 1423196",,,
california teachers association/association for better citizenship,California Teachers Association/Association For Better Citizenship,741941,filer_name_no_prop,80,2273964.77,2000-01-01,2012-06-11,3/7/2000 12:00:00 AM,1/1/2000 12:00:00 AM,1/22/2000 12:00:00 AM,F460=80,C=80,"California Teachers Association ($2,244,208); African-American Vote 2000 ($25,000); National Education Association ($4,366); Nation For Assembly 2000 ($390)","578106, 578106, 578106, 591471, 591471",,,
"campaign for a safe and healthy california, sponsored by nonprofit environmental and health organizations","Campaign for a Safe and Healthy California, sponsored by nonprofit environmental and health organizations",1460932,filer_name_no_prop,68,2206434.71,2023-10-13,2024-09-18,,10/1/2023 12:00:00 AM,12/31/2023 12:00:00 AM,F460=68,C=68,"Ruscha, Ed ($425,000); Gagosian Gallery, Inc. ($282,778); Gaines, Charles ($220,000); Grotjahn, Mark ($175,000); Scharf, Kenny ($150,000)","2882674, 2882674, 2882674, 2882674, 2882674",,,
abigail medina for assembly 2016,Abigail Medina for Assembly 2016,1377340,filer_name_no_prop,237,2087694.19,2015-05-09,2016-11-08,,1/1/2015 12:00:00 AM,6/30/2015 12:00:00 AM,F460=237,C=237,"California Democratic Party ($2,084,620); Medina, Jesus ($1,626); Los Angeles: Orange County Democrats United ($600); Medina, Monique ($420); Policy Link ($250)","1982892, 1982892, 1982892, 2012619, 2012619",,,
"taxpayers for accountability & better schools, sponsored by edvoice, inc.","TAXPAYERS FOR ACCOUNTABILITY & BETTER SCHOOLS, SPONSORED BY EDVOICE, INC.",1283706,filer_name_no_prop,2,2056794.94,2006-03-01,2006-03-08,,1/1/2006 12:00:00 AM,3/31/2006 12:00:00 AM,F460=2,C=2,"HASTINGS, REED ($2,013,912); EDVOICE, INC. ($42,883)","1167943, 1167943",,,
cook-kallio for assembly 2016,Cook-Kallio for Assembly 2016,1381077,filer_name_no_prop,179,2040629.14,2016-02-10,2016-11-07,11/8/2016 12:00:00 AM,4/24/2016 12:00:00 AM,5/21/2016 12:00:00 AM,F460=179,C=179,"California Democratic Party ($2,037,471); Contra Costa United Working Families (CCUWF), Sponsored by Central Labor Council of Contra Costa County, AFL-CIO ($2,098); Consumer Attorneys of California PAC ($564); Kallio, John ($346); Wong, Bill ($150)","2047151, 2047151, 2047151, 2047151, 2047151",,,
league of california cities citipac,League of California Cities CITIPAC,1254399,filer_name_no_prop,140,1985121.66,2003-06-30,2025-12-31,,1/1/2003 12:00:00 AM,6/30/2003 12:00:00 AM,F460=140,C=140,"League of California Cities ($1,778,049); League of California Cities (Admin) ($139,965); Morongo Band of Mission Indians ($11,000); Lewis Pacific Partners ($7,500); Pechenga Resort Casino ($6,800)","947733, 979397, 979397, 979397, 1031918",,,
manuel perez for assembly,Manuel Perez for Assembly,1297969,filer_name_no_prop,199,1969107.77,2008-05-21,2009-04-13,,5/18/2008 12:00:00 AM,6/30/2008 12:00:00 AM,F460=199,C=199,"Democratic State Central Comm Of CA ($1,861,356); Imperial County Democratic Central Committee ($84,288); Riverside County Democratic Party ($12,197); CA Professional Firefighters PAC ($6,513); Service Employees International Union ($3,945)","1351219, 1351219, 1351219, 1351219, 1351219",,,
soria for assembly 2022,Soria for Assembly 2022,1443835,filer_name_no_prop,94,1922825.5,2022-05-17,2022-11-08,6/7/2022 12:00:00 AM,4/24/2022 12:00:00 AM,5/21/2022 12:00:00 AM,F460=94,C=94,"California Democratic Party ($1,911,853); Fresno, Madera, Kings, Tulare Counties Building Trades Council, COPE Committee ($4,085); Valley Forward Action Fund ($2,236); Lakireddy, Raghupriya ($1,600); Diaz, Monica ($1,250)","2687295, 2687295, 2687295, 2707121, 2707121",,,
torlakson for senate,TORLAKSON FOR SENATE,990655,filer_name_no_prop,146,1800928.24,2000-02-01,2000-12-01,3/7/2000 12:00:00 AM,1/23/2000 12:00:00 AM,2/19/2000 12:00:00 AM,F460=146,C=146,"Senate Majority Fund ($1,350,369); Democratic State Central Committee of CA ($280,138); CA League of Conservation Voters ($43,203); Perata for Senate ($35,733); CA Professional FireFighters PAC ($26,670)","592459, 592459, 592459, 645181, 645181",,,
bill simon for governor,Bill Simon for Governor,1233478,filer_name_no_prop,395,1700851.32,2001-05-09,2004-09-25,11/5/2002 12:00:00 AM,1/1/2001 12:00:00 AM,6/30/2001 12:00:00 AM,F460=395,C=395,"California Republican Party ($288,027); Spanos, A.G. ($252,785); Weyrich, David ($150,801); Green Valley Services, Inc. dba Hartman Studios ($98,501); Simon, Jr., William E. ($61,779)","771656, 771656, 771656, 771656, 771656",,,
golden state voter participation project,Golden State Voter Participation Project,1345010,filer_name_no_prop,10,1646401.81,2013-09-11,2016-10-21,,1/1/2014 12:00:00 AM,6/30/2014 12:00:00 AM,F460=10,C=10,"Munger, Jr., Charles ($1,636,902); Donatelli, Connell ($9,500)","1870841, 1815939, 1933372, 1980307, 1980307",,,
chris duncan for assembly 2024,Chris Duncan for Assembly 2024,1456888,filer_name_no_prop,186,1628554.56,2023-05-13,2024-11-05,,1/1/2023 12:00:00 AM,6/30/2023 12:00:00 AM,F460=186,C=186,"California Democratic Party ($1,626,725); Lacy, Janet Bledsoe ($573); Fenning, Alan ($520); ProChoice Your Voter Guide ($500); Hall, Catherine ($51)","2834526, 2872911, 2872911, 2872911, 2872913",,,
anthony portantino for senate 2016,ANTHONY PORTANTINO FOR SENATE 2016,1334175,filer_name_no_prop,163,1618679.49,2011-07-10,2019-06-30,6/6/2016 12:00:00 AM,7/1/2011 12:00:00 AM,12/31/2011 12:00:00 AM,F460=163,C=163,"California Democratic Party ($1,568,261); California Professional Firefighters ($4,670); Derderian, Vatche ($4,000); Urquhart, Bill ($3,600); Urquhart, Mary ($3,600)","1637917, 1637917, 1741268, 1783097, 1783097",,,
josh newman for senate 2020,Josh Newman for Senate 2020,1392939,filer_name_no_prop,132,1604082.05,2017-06-27,2020-11-18,,1/1/2017 12:00:00 AM,6/30/2017 12:00:00 AM,F460=132,C=132,"California Democratic Party ($1,600,174); Clarity Management ($750); FairPAC, Sponsored by The Civil Justice Associatio of California ($735); Personal Insurance Federation of CA Agenta & Employees PAC ($656); Painters & Allied Trades District Council 36 ($588)","2175534, 2208632, 2274283, 2392701, 2433903",,,
"californians against the costly recall of the governor: coalition of firefighters, workers, educators, bus, bus leaders, ca dem party, entertainment bus, dem governors, governor gray davis committee","Californians Against the Costly Recall of the Governor: Coalition of Firefighters, Workers, Educators, Bus, Bus Leaders, CA Dem Party, Entertainment Bus, Dem Governors, Governor Gray Davis Committee",1256416,filer_name_no_prop,198,1600606.76,2003-07-28,2003-12-03,10/7/2003 12:00:00 AM,8/24/2003 12:00:00 AM,9/20/2003 12:00:00 AM,F460=198,C=198,"Democratic State Central Committee of California ($628,290); Governor Gray Davis Committee ($558,402); Members' Voice of the State Building Trades ($91,113); CA League of Conservation Voters - IE Comm. ($50,630); AFSCME (AFL-CIO) ($43,267)","959701, 959701, 959701, 959701, 959701",,,
angelides 2006,Angelides 2006,1253280,filer_name_no_prop,367,1518868.79,2003-04-04,2006-11-06,3/7/2006 12:00:00 AM,1/1/2003 12:00:00 AM,6/30/2003 12:00:00 AM,F460=367,C=367,"Democratic State Central Committee of California ($987,152); California Applicant's Attorneys Association PAC ($21,173); Dreyer, Babich, Buccola and Callaham, LLP ($12,722); Stephen M. Ross and Affiliated Entity The Related Companies ($11,257); Emanuel, Ariel Z. ($9,510)","947949, 947949, 947949, 947949, 947949",,,
"f.a.i.r.- fairness & accountability in redistricting ballot measure committee with major funding from ca rep. party, frank greinke, friends of mimi walters for senate '12 and senator dutton for sup","F.A.I.R.- Fairness & Accountability In Redistricting ballot measure committee with major funding from CA Rep. Party, Frank Greinke, Friends of Mimi Walters for Senate '12 and Senator Dutton for Sup",1339774,filer_name_no_prop,15,1506437.2,2011-10-05,2011-12-16,,10/1/2011 12:00:00 AM,12/31/2011 12:00:00 AM,F460=15,C=15,"California Republican Party ($1,506,437)","1637461, 1637461, 1637461, 1637461, 1637461",,,
newman for state senate 2016,Newman for State Senate 2016,1377779,filer_name_no_prop,120,1464312.92,2016-08-30,2016-12-22,11/8/2016 12:00:00 AM,7/1/2016 12:00:00 AM,9/24/2016 12:00:00 AM,F460=120,C=120,"California Democratic Party ($1,464,313)","2082871, 2082871, 2082871, 2082871, 2082871",,,
rusty areias for senate 2002,Rusty Areias for Senate 2002,1240503,filer_name_no_prop,523,1453642.39,2002-02-14,2004-06-30,11/5/2002 12:00:00 AM,1/20/2002 12:00:00 AM,2/16/2002 12:00:00 AM,F460=523,C=523,"Democratic State Central Committee of CA ($1,432,986); Peace Officers Research Association of CA PAC ($6,000); Dede Alpert For Senate ($3,000); Ross Communications ($1,492); Thondapu, R. ($980)","823204, 854858, 854858, 854858, 854858",,,
ling ling chang for senate 2016,Ling Ling Chang for Senate 2016,1377614,filer_name_no_prop,94,1430393.27,2015-08-27,2016-12-31,6/7/2016 12:00:00 AM,1/1/2016 12:00:00 AM,4/23/2016 12:00:00 AM,F460=94,C=94,"California Republican Party ($1,329,997); Republican Party of Orange County ($88,322); Tom Berryhill for Senate 2014 ($3,000); Docnak Photography ($1,434); Williams, Mike ($950)","2034547, 2034547, 2034547, 2034547, 2034547",,,
california republican party,California Republican Party,810163,filer_name_no_prop,144,1427525.09,2000-01-25,2014-06-23,3/7/2000 12:00:00 AM,1/23/2000 12:00:00 AM,2/19/2000 12:00:00 AM,F460=144,C=144,"Gov Schwarzenegger's CA Recovery Team ($388,207); Virco Mfg. Corp. ($106,638); Diageo ($92,279); Microsoft Corporation ($63,017); Hewlett-Packard Company ($61,583)","592439, 643532, 669549, 669549, 669549",,,
california republican party - state,California Republican Party - State,810163,filer_name_no_prop,67,1426935.44,2017-01-10,2026-04-01,,1/1/2017 12:00:00 AM,6/30/2017 12:00:00 AM,F460=67,C=67,"The Carol Ann Stout Trust ($715,000); Philip Morris USA Inc. and its Affiliates ($259,454); California Professional Firefighters PAC ($101,752); Hochman for Attorney General 2022 ($52,750); JobsPAC, A Bi-Partisan Coalition of California Employers ($44,000)","2176600, 2176600, 2176600, 2176600, 2176600",,,
neighbors for a better san francisco advocacy,NEIGHBORS FOR A BETTER SAN FRANCISCO ADVOCACY,1431167,filer_name_no_prop,5,1403374.48,2021-11-23,2022-05-06,,7/1/2021 12:00:00 AM,12/31/2021 12:00:00 AM,F460=5,C=5,"CONTE, JEAN-PIERRE ($503,808); MUHLFELD, LOUISE ($384,544); OBERNDORF, WILLIAM ($302,722); CONWAY, CHRISTOPHER ($189,480); PERRY, MARK ($22,820)","2641114, 2687321, 2673379, 2673379, 2673379",,,
governor schwarzenegger's california recovery team,Governor Schwarzenegger's California Recovery Team,1261406,filer_name_no_prop,120,1397244.98,2004-02-05,2005-11-06,,1/1/2004 12:00:00 AM,2/14/2004 12:00:00 AM,F460=120,C=120,"Committee for Workers' Compensation Reform and Accountability ($168,517); Robinson Leasing, Inc. ($147,000); Koontz, Gerda & Dean ($106,987); Britto Central ($82,000); Maloof Sports & Entertainment ($64,505)","996913, 996913, 996913, 996913, 996913",,,
lori saldana for state assembly,Lori Saldana for State Assembly,1252222,filer_name_no_prop,173,1378475.01,2004-05-26,2005-09-03,11/2/2004 12:00:00 AM,2/15/2004 12:00:00 AM,6/30/2004 12:00:00 AM,F460=173,C=173,"Democratic State Central Committee Of CA ($804,104); San Diego County Democratic Party ($559,576); Ca Firefighters - PAC ($3,745); CA League Of Conservation Voters SCC ($3,000); The California List ($2,118)","1032349, 1032349, 1032349, 1032349, 1032349",,,
poythress for senate 2018,Poythress for Senate 2018,1398994,filer_name_no_prop,69,1375849.91,2017-10-24,2018-12-13,,7/1/2017 12:00:00 AM,12/31/2017 12:00:00 AM,F460=69,C=69,"California Republican Party ($1,227,243); Los Angeles Republican Central Committee ($70,000); Orange County Republican Central Committee ($50,000); Spencer, Richard ($4,230); Rava Ranches, Inc ($4,135)","2206478, 2206478, 2206478, 2206478, 2253958",,,
"california coalition for fairness, sponsored by manufacturers","CALIFORNIA COALITION FOR FAIRNESS, SPONSORED BY MANUFACTURERS",1431407,filer_name_no_prop,15,1351939.15,2020-09-01,2022-03-30,,10/1/2020 12:00:00 AM,12/31/2020 12:00:00 AM,F460=15,C=15,"PHILIP MORRIS USA INC. AND ITS AFFILIATES ($713,002); R.J. REYNOLDS TOBACCO COMPANY AND ITS AFFILIATES ($638,938)","2551396, 2551396, 2551396, 2551396, 2551396",,,
janet nguyen for senate 2014,JANET NGUYEN FOR SENATE 2014,1355589,filer_name_no_prop,56,1350992.58,2013-11-06,2015-03-02,6/3/2014 12:00:00 AM,3/18/2014 12:00:00 AM,5/17/2014 12:00:00 AM,F460=56,C=56,"CALIF. REPUBLICAN PARTY ($1,256,121); REPUBLICAN CENTRAL COMMITTEE OF SAN LUIS OBISPO COUNTY ($81,034); BRIXEN & SONS, INC. ($2,000); LIU, XIANG ($1,552); BLUE RESTAURANT & DANCING ($1,000)","1853107, 1853107, 1853107, 1853107, 1853107",,,
catherine blakespear for senate 2022,Catherine Blakespear for Senate 2022,1436941,filer_name_no_prop,128,1323506.17,2022-04-10,2022-11-08,6/7/2022 12:00:00 AM,1/1/2022 12:00:00 AM,4/23/2022 12:00:00 AM,F460=128,C=128,"California Democratic Party ($1,320,781); Tasha Boerner Horvath for Assembly 2022 ($1,865); Consumer Attorneys Consumer Protection Fund ($535); Black, Laurie ($325)","2673571, 2687324, 2687324, 2687324, 2687324",,,
laurie davies for assembly 2024,Laurie Davies For Assembly 2024,1456600,filer_name_no_prop,22,1310777.72,2023-08-17,2024-10-30,,7/1/2023 12:00:00 AM,12/31/2023 12:00:00 AM,F460=22,C=22,"California Republican Party ($1,297,615); Carl DeMaio for Republican Central Committee 2028 ($5,500); Captain Dave's ($4,750); Juan Alanis for Assembly 2024 ($1,631); Almquist, Dan ($848)","2873100, 2873100, 2895326, 2956494, 2956494",,,
jeff denham for senate,JEFF DENHAM FOR SENATE,1240178,filer_name_no_prop,70,1286706.02,2002-07-08,2002-12-03,11/5/2002 12:00:00 AM,7/1/2002 12:00:00 AM,9/30/2002 12:00:00 AM,F460=70,C=70,"CALIF. REPUBLICAN PARTY ($1,184,880); KERN COUNTY REPUBLICAN PARTY ($73,995); MONTEREY COUNTY REPUBLICAN PARTY ($21,168); GILL, DAVID ($2,600); Swanson Farms, Inc. ($1,356)","871371, 871371, 871371, 871371, 871371",,,
tasha boerner horvath for assembly 2020,Tasha Boerner Horvath for Assembly 2020,1414240,filer_name_no_prop,137,1269293.14,2019-02-12,2020-10-30,,1/1/2019 12:00:00 AM,6/30/2019 12:00:00 AM,F460=137,C=137,"California Democratic Party ($1,263,783); Cox Communications and Affiliated Entities ($1,350); Consumer Attorneys of California Consumer Protection Fund ($1,232); Tsakopoulos, Chrysanthy ($1,166); Alyea, Chris Van ($907)","2399954, 2399954, 2399954, 2434978, 2434978",,,
californians for clean energy and jobs,Californians for Clean Energy and Jobs,1324059,filer_name_no_prop,33,1266263.4,2010-07-01,2010-10-13,11/2/2010 12:00:00 AM,10/1/2010 12:00:00 AM,10/16/2010 12:00:00 AM,F460=33,C=33,"Khosla, Vinod ($1,037,267); Packard, Julie E. ($101,895); Union of Concerned Scientists, Inc. ($52,689); Nike, Inc. ($20,958); Consumers Union ($13,777)","1532084, 1532084, 1532084, 1532084, 1532084",,,
"californians working together to restore and protect public schools, universities and public safety, a coalition of educators, public school employees, working men and women, doctors, speaker john a.","Californians Working Together to Restore and Protect Public Schools, Universities and Public Safety, a Coalition of Educators, Public School Employees, Working Men and Women, Doctors, Speaker John A.",1346049,filer_name_no_prop,44,1260439.58,2012-04-02,2012-06-29,,4/1/2012 12:00:00 AM,6/30/2012 12:00:00 AM,F460=44,C=44,"Democratic State Central Committee of CA ($1,041,250); Service Employees Int'l Union Local 1000 Issues PAC ($53,218); Service Employees Int'l Union Local 99 Issues PAC ($44,484); SEIU 6434 United Long Term Care Workers State PAC ($31,869); Service Employees Int'l Union Local 721 ($27,273)","1680019, 1680019, 1680019, 1680019, 1680019",,,
dean gardner for assembly campaign 2004,Dean Gardner for Assembly Campaign 2004,1260497,filer_name_no_prop,72,1243941.1,2004-03-12,2005-01-06,11/2/2004 12:00:00 AM,2/15/2004 12:00:00 AM,6/30/2004 12:00:00 AM,F460=72,C=72,"California Republican Party ($1,154,049); Fresno County Republican Party ($25,000); Kings County Republican Central Committee ($25,000); Tulare County Republican Party ($24,000); Madera County Republican Party ($5,000)","1033000, 1033000, 1033000, 1033000, 1033000",,,
steve clute for assembly,Steve Clute for Assembly,1280116,filer_name_no_prop,155,1219202.69,2006-04-21,2006-11-20,,3/18/2006 12:00:00 AM,5/20/2006 12:00:00 AM,F460=155,C=155,"Democratic State Central Committee of CA ($754,806); Stanislaus County Democratic Central Committee ($235,720); Sacramento County Democratic Central Committee ($205,500); Int'l Union of Operating Engineers Local 12 ($11,700); SEIU, L.A. Homecare Worker Union, Local 434-B ($6,000)","1174583, 1174583, 1204583, 1204583, 1204583",,,
california works: senator toni atkins ballot measure committee,California Works: Senator Toni Atkins Ballot Measure Committee,1357909,filer_name_no_prop,48,1215280.76,2017-08-07,2023-06-15,,7/1/2017 12:00:00 AM,12/31/2017 12:00:00 AM,F460=48,C=48,"California Democratic Party ($949,721); Neighbors for a Better San Francisco Advocacy ($110,000); Moving CA Forward a Committee Controlled by Anthony Portantino ($64,397); Anheuser-Busch Companies Inc. ($35,000); Newsom for California Governor 2022 ($16,657)","2203140, 2295763, 2311966, 2394990, 2394990",,,
